Song Name,Lyric,Artist,Year,Car Brand
Gold Digger,"But while y'all washing, watch him / He gone make it to a Benz out of that Datson",Kanye West ft. Jamie Foxx,2005,Mercedes-Benz
Touch the Sky,Take 'em back to the plan / Me and my momma hopped in the U-Haul van. ,Kanye West ft. Lupe Fiasco,2005,U-Haul
Drive,"See back, back then, then if you had a car / You were the Chi-town version of Baby ",Kanye West ft. Paul Wall and GLC,2006,
Heavy Hitters,"Last 9-11, I was poor on the ave, until I pluraled my math / Now it's Porsche 911, and I'm flooring the gas ",Kanye West ft. GLC,2002,Porsche
Through the Wire,If you could feel how my face felt you would know how Ma$e felt / Thank God I ain't too cool for the safe belt ,Kanye West,2004,
Otis,"They ain't see me cause I pulled up in my other Benz / Last week I was in my other, other Benz ",Kanye West and Jay-Z ft. Otis,2011,Mercedes-Benz
All Falls Down,She's so precious with the peer pressure / Couldn't afford a car so she named her daughter Alexis ,Kanye West ft. Syleena Johnson,2004,
Run This Town,What you think I rap for? To push a f**kin' RAV-4? ,Kanye West and Rihanna,2009,Toyota
Last Call,"Killin' y'all ni**as on that lyrical shit / Mayonnaise colored Benz, I push Miracle Whips ",Kanye West,2004,Mercedes-Benz
Mercy,"Lamborghini, mercy, your chick she's so thirsty / I'm in that two-seat Lambo with your girl, she's tryna jerk me ","Kanye West ft. Big Sean, Pusha T and 2Chainz",2012,Lamborghini
How We Do,"I put Lamborghini doors on that Escalade/low pro so low, look like I'm ridin' on blades.'",The Game ft. 50 Cent,2010,Lamborghini
Last Call,"Killin' ya'll niggas on that lyrical shit/Mayonnaise colored Benz, I push Miracle Whips.'",Kanye West,2012,Mercedes-Benz
Funkmaster Flex Freestyle,I'm in the Aston doin' doughnuts/I will kill the game and never send it my condolence.',Drake,2009,Aston-Martin
0.38,"I'm in that purple Lam, lookin' like some dirty Sprite/catchin' passes, whippin' birds, yeah, that Roddy White.'",Jeezy ft. Freddie Gibbs,2011,Lamborghini
Stay Schemin,"From the hoopty coupe to that ghost, dog/pigeons on the roof like Ghost, dog.'",Rick Ross ft. Drake & French Montana,2012,
John,"Big black ni##a, in a icy watch/shoes on the coupe, b**ch, I got a Nike shop/Count the profits, you could bring 'em in a Nike box/grindin' in my Jordans, kick 'em off they might be hot' Swish!/I'm swimmin' in a yellow b*#$h, in a red 911 lookin' devilish.'",Lil Wayne ft. Rick Ross,2011,Mercedes-Benz
Lucifer,"In the Maybach Benz, flyer than Sanaa Lathan/Bumping 'Brown Sugar' by D'Angelo, In Los Angeles, like an evangelist.'",Jay-Z,2008,Mercedes-Benz
Still Fly,430 Lex with convertible top/and the rims keeps spinning every time I stop/Got a Superman Benz that I scored from Shaq/With a old school Caddy with a diamond in the back.',Big Tymers,2009,
Addicted To Money,"On the bearskin rug, no shoes or socks/so on three, you and the coupe gotta lose your tops/See I'm addicted to the paper I been gettin' for years/and my whip is all white, I call it Britney Spears.'",Ludacris,2009,
